No. ;Dependencia ;Norma, función o proceso;; Código del Procedimiento;" Código del
 Formato";"(Tipo documental)
Nombre del registro o documento de archivo";"(Tipo documental)
Definición";"(Tipo documental)
Idioma ";Análogo;Digital;Electrónico;Descripción del Soporte;Presentación de la información (formato);"(Tipo de origen) 
Interno";"(Tipo deorigen)
Externo";Serie; Subserie;Descripción de la categoría de información ;Pública;Clasificada;Reservada ;Custodio de la información ;Estado de la información ;Localización del documento o del activo de información ;
95;Dirección Tecnica de Seguridad ;"Resolución No. 491 del 15 de Septiembre de 2017 ""Por medio de la cual se actualiza el reglamento de la seguridad del Sistema de Transporte Público Gestionado por Transmilenio S.A.";;N/A;R-OP-004 ;Acta;Es el documento que contiene los temas tratados, decisiones y compromisos a los cuales se llego en el Comité de Seguridad Vial Troncal y Zonal.;Español ;X;X;;Papel;PDF;X;;ACTAS;Actas de Comité de Seguridad Vial Troncal y Zonal;"Las Actas de Comité de Seguridad Vial Troncal y Zonal documentan las deliberaciones, decisiones y compromisos de los miembros del Comité en torno a la proposición de planes y programas relacionados con seguridad vial y operacional; seguimiento a las cifras e indicadores de accidentalidad de los componentes zonal y troncal; socialización de buenas prácticas y lecciones aprendidas; y la gestión de los riesgos viales y operacionales identificados por el Comité.";X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
96;Dirección Tecnica de Seguridad ;"Resolución No. 491 del 15 de Septiembre de 2017 ""Por medio de la cual se actualiza el reglamento de la seguridad del Sistema de Transporte Público Gestionado por Transmilenio S.A.";;T-DS-008;N/A;boletin ;Documento que soporta la identificación de peligros en la visita de via ;Español ;X;X;X;Papel /correo electonico ;PDF / MSG ;X;;BOLETINES ;Boletines Atentos;Los Boletines Atentos se plantean desde la Subgerencia Técnica y de Servicios, la Subgerencia de Atención al Usuario y Comunicaciones, las Direcciones Técnicas de Seguridad, BRT o Buses de TRANSMILENIO S.A., la Secretaría Distrital de Movilidad o de parte de contratistas que realizan obras civiles, informando de novedades que afectan la normal operación del Sistema y que impliquen cambios operativos relevantes en el desarrollo normal de la movilidad del Sistema. Entre las principales afectaciones tienen los desvíos operacionales, rutas nuevas, conexiones entre troncales, obras, entre otros.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
97;Dirección Tecnica de Seguridad ;"Resolución No. 491 del 15 de Septiembre de 2017 ""Por medio de la cual se actualiza el reglamento de la seguridad del Sistema de Transporte Público Gestionado por Transmilenio S.A.";;N/A;N/A;Boletín;Documento en word  en el cual se informan las obras que se estan realizando en las calzadas exclusivas y es enviado por correo electronico.;Español ;;;X;Correo Electronico;MSG ;X;;BOLETINES ;Boletines de Obra;Los Boletines de obra están conformados por reportes que informan las obras que se están realizando en las calzadas exclusivas, esta información es enviado por correo electrónico a los operadores del sistema.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Dirección Técnica de Seguridad ;
98;Dirección Tecnica de Seguridad ;Plan Integral de Seguridad;;T- DS- 003;N/A;Documentos, fotografias, volantes e  informe. ;Se encuentran en los informes y reportes de interventoria o fuerza operativa ;Español ;;;X;"papel
Electronico  ";PDF / MSG  / Server File;;X;CAMPAÑAS DE SEGURIDAD VIAL Y FISICA ;;Los Campañas de Seguridad Vial y Física se realizan en el marco del cumplimiento del Manual de Operaciones Sistema Transmilenio y por obligaciones contractuales de la entidad con los concesionarios, se debe tener el registro de asistencia a las capacitaciones en manejo preventivo, responsabilidad en el manejo del bus  articulado o de alimentación, cortesía en la vía y demás factores fundamentales para el buen funcionamiento del sistema.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
99;Dirección Tecnica de Seguridad ;Protocolo para la prestación del servicio anti - evasión con  vigilancia sin arma y con medio canino;;T- DS- 004;N/A;Registro de Base de Datos en Excel ;Planillas de reporte de eventos de siniestros  de transito y eventos de seguridad y convivencia ciudadana ;Español ;;;X;Hojas de calculo;Hojas de calculo;X;;ESTADISTICAS ;Estadísticas de Seguridad Víal y Física      ;Las Estadísticas de Seguridad Vial y Física consisten en el registro resumido y detallado de los incidentes de seguridad vial acontecidos a los vehículos BRT y buses duales en el componente troncal y aquellos ocurridos en el componente zonal que incluyen choques simples,  choques con herido o muerto y en los que están involucrados otros vehículos, peatones, pasajeros, bicicletas o motos.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
100;Dirección Tecnica de Seguridad ;Protocolo para el ánalisis de eventos de accidentalidad;;T-DS-007;R-DS-012;Informe de análisis de evento de accidentalidad;"Documento que evidencia el informe de análisis de evento
de accidentalidad.";Español ;X;X;;Papel/CD;PDF;X;X;INFORMES ;Informes de Análisis de Accidentes Troncales;Los Informes de Análisis de Accidentes Troncales y de accidentes zonales, únicamente se diferencian por el componente del sistema en el cual suceden los hechos, bien sea en las vías principales empleadas por los BRT o aquellas zonas de la ciudad que utilizan otro tipo de buses. Documentan los eventos, generalmente involuntarios, generados al menos por un vehículo en movimiento, en el cual se hallen involucrados vehículos vinculados al Sistema Integrado de Transporte Público que gestiona Transmilenio S.A., en el que se causa daños a personas y bienes e igualmente afecta la normal circulación de los vehículos que se movilizan por la vía o vías comprendidas en el lugar o dentro de la zona de influencia del hecho.;;X;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
101;Dirección Tecnica de Seguridad ;Protocolo para el ánalisis de eventos de accidentalidad;;T-DS-007;R-DS-012;Informe de análisis de evento de accidentalidad;"Documento que evidencia el informe de análisis de evento
de accidentalidad.";Español ;X;X;;Papel/CD;PDF;X;X;INFORMES ;Informes de Análisis de Accidentes zonal ;Los Informes de Análisis de Accidentes Troncales y de accidentes zonales, únicamente se diferencian por el componente del sistema en el cual suceden los hechos, bien sea en las vías principales empleadas por los BRT o aquellas zonas de la ciudad que utilizan otro tipo de buses. Documentan los eventos, generalmente involuntarios, generados al menos por un vehículo en movimiento, en el cual se hallen involucrados vehículos vinculados al Sistema Integrado de Transporte Público que gestiona Transmilenio S.A., en el que se causa daños a personas y bienes e igualmente afecta la normal circulación de los vehículos que se movilizan por la vía o vías comprendidas en el lugar o dentro de la zona de influencia del hecho.;;X;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
102;Dirección Tecnica de Seguridad ;Protocolo para desarrollar inspecciones de seguridad operacional;;T-DS-010 ;N/A;Informe de inspección ;Informe que consolida las inspecciones realizadas, los resultados y las recomendaciones. ;Español;X;X;;Papel/CD;PDF/JPG;;X;INFORMES ;Informes de Inspección de Seguridad Industrial;Los Informes de Inspección de Seguridad Industrial están conformados por observaciones sistemáticas para identificar los peligros, riesgos o condiciones inseguras en el Sistema, que de otro modo podrían pasarse por alto, y de hacerlo así podrían ocurrir eventos o desastres que pusieran en riesgo la operación como tal, a sus trabajadores y los usuarios del Sistema Integrado de Transporte Público.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
103;Dirección Tecnica de Seguridad ;Protocolo para la aplicación de pruebas de alcoholimetria;;T-DS-006;R-DS-009;Informe de alcoholimetría ;Informe de alcoholimetría el cual se hace en los casos que son positivos. ;Español;X;;X;VIHANET;PDF;;X;INFORMES ;Informes de Pruebas de Alcoholimetría;Los Informes de Pruebas de Alcoholimetría documentan la realización de pruebas de alcoholimetría al interior del Sistema Integrado de Transporte Público – SITP gestionado por TRANSMILENIO S.A., incluyendo a todo el personal operativo y administrativo que incida en la operación, el procedimiento incluye la prueba automática o test pasivo que se realiza en primera instancia, con el fin de determinar cualitativamente sí hay concentración de alcohol en la sangre. Este tipo de prueba permite que las mediciones sean rápidas y no afecten la operación. Los resultados de estas pruebas son reportados como positivos “POS” si se detecta alcohol, o negativos “NEG” si no se detecta alcohol. Si se detecta sea hace una prueba confirmatoria  o test activo, se lleva a cabo con boquilla y únicamente al inspeccionado, sirve para validar la prueba automática y determinar concentración de alcohol en la sangre. El trámite reflejado da cuenta del evento en el cual las pruebas salen positivas y se inician acciones frente al Concesionario.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
104;Dirección Tecnica de Seguridad ;"
Plan Institucional de Respuesta a Emergencia  del Sistema TransMilenio
";;T-DS-002;;Plan;Plan preventivo para incluir medidas y procedimientos  con el objetivo de variar niveles de amenaza, evaluaciones de riesgo y las correspondientes medidas de seguridad que han de aplicarse para prevenir y mitigar los sucesos, así como preparar a todas las partes interesadas que tengan funciones y obligaciones en caso de que se realice un acto de interferencia ilícita. Medidas de seguridad graduales que puedan aumentarse a medida que la amenaza aumenta. ;Español;X;;;Papel ;Word/PDF;X;;PLANES ;Planes de Emergencias del Sistema;Documentos que definen pobjetivos, organización, funciones en operación normal y en situación de emergencia, seguimiento, capacitación y recursos a requerirse. Cada plan cuenta con un responsable de su adecuada y oportuna ejecución. ;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
105;Dirección Tecnica de Seguridad ;"Resolución No. 178 del 19 de Diciembre de 2001 ""Por medio de la cual se crea y conforma el Comité de Inventarios de la EMPRESA DE TRANSPORTE DEL TERCER MILENIO  - TRANSMILENIO S.A."" ";;;;Plan;Documento  que definir las líneas de acción en materia de seguridad física, seguridad vial y evasión,;Español;X;;X;;Papel / Intranet;PDF;;PLANES ;Planes Integrales de Seguridad;El Plan Integral de Seguridad contiene las líneas de acción en materia de seguridad física, seguridad vial y evasión, a través de las cuales se enmarcaran las actividades a gestionar desde TRANSMILENIO S.A. y los agentes internos y externos, para mejorar la Seguridad del Sistema de Transporte Público gestionado por TRANSMILENIO S.A.;;;;;;;
106;Dirección Técnica de BRT;"
Reglamento Comité de Operadores Troncales TRANSMILENIO S.A.";;"
P-O-GR-001
";R-OP-004 ;Acta;Documento que contiene y describe los temas tratados, decisiones y compromisos a los cuales se llego en el Comité de Operadores Troncales.;Español ;X;X;;Papel;PDF;X;;ACTAS ;Actas de Comité de Operadores Troncales;Las Actas de Comité de Operadores Troncales documentan las deliberaciones de sus miembros conformados por representantes de los operadores troncales por concesión del sistema y representantes de TRANSMILENIO S.A. que operan en el componente troncal del sistema, en torno al análisis a partir de las tablas horarias sugeridas por los operadores, el cumplimiento de especificaciones y rangos mínimos establecidos en la planeación preliminar de los servicios, y verificar que en cada franja horaria, los intervalos estén distribuidos uniformemente.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
107;Dirección Técnica de BRT;"Resolución No. 081 de 2020 ""Por la cual se determina el objeto, funciones, composición y reglamento del Comité de Contratación de la EMPRESA DE TRANSPORTE DEL TERCER MILENIO ""TRANSMILENIO S.A.""";;P-DO-002;N/A;Registro de bitácora;Registros que se deben realizar en el momento en que se presentan los eventos, para que el registro del instante corresponda con la hora real del evento. Si es necesario se completa la bitácora después del turno, si la cantidad de las contingencias lo amerita.;Español ;;;X;GESTSAE/T-DOC;PDF/HOJA DE CALCULO/CSV;X;;BITACORAS;Bitácoras de Operación;Las Bitácoras de Operación documentan toda novedad reportada por los usuarios, la policía, o el personal de TRANSMILENIO S.A., personal de interventoría, contratistas  y personal de los concesionarios  al Centro de Control Maestro o Centro de Control Zonal, el registro se lleva a cabo en el GESTSAE Gestión del Sistema de Ayuda a la Explotación: aplicación Web diseñada para realizar la bitácora del SAEOPERADOR, la cual, es la base de datos para registrar todas las situaciones que se originan en el transcurso de la operación del Sistema Integrado de Transporte Público. Mediante su uso se puede consultar todas las novedades operacionales que se generan en el transcurso de la operación. Los datos que se deben diligenciar como mínimo en la nota son: fecha, tipo, subtipo, subsubtipo, empresa, línea, No. SAE Vehículo, No. SAE conductor, observaciones y/o descripción.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Dirección Técnica de BRT;
108;Dirección Técnica de BRT;"Resolución No. 081 de 2020 ""Por la cual se determina el objeto, funciones, composición y reglamento del Comité de Contratación de la EMPRESA DE TRANSPORTE DEL TERCER MILENIO ""TRANSMILENIO S.A.""";;T-DS-003;N/A;Plan de Manejo de Tráfico;Documento que cuenta con las especificaciones técnicas mínimas para la realización de Planes de Manejo de Tráfico en la ciudad, establecidas por la Secretaría Distrital de Movilidad y por el Instituto Urbano, IDU.;Español ;X;;;Papel;Papel;;X;PLANES ;Planes de Manejo de Tráfico ;Agrupacuón de documentos que conforman el Plan de manejo de tráfico aprobado por la Secretaría de Movilidad y puede tener una  interferencia mediana, alta o baja, se generan para minimizar los impactos generados en la movilidad por la ejecución de obras civiles de alta prioridad, implican cierres o desvíos viales temporales en la red principal y local de la ciudad, además presentan una señalización vertical y horizontal temporal para indicar cierres o desvíos en las vías públicas por donde circulan los vehículos de transporte público pertenecientes al sistema que gestiona Transmilenio S.A.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
