upz_id,cod_localidad,localidad,anio,mes,upz_nuse_hurto,upz_nuse_orden_publico,upz_nuse_otros,upz_nuse_violencia,upz_nuse_total,poblacion_localidad,dai_total,dai_hurto_personas,ir_total,indice_seguridad_nocturna_2019
UPZ20,11,SUBA,2023,3,62.0,282.0,352.0,170.0,866.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ20,11,SUBA,2023,4,65.0,322.0,381.0,140.0,908.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ20,11,SUBA,2023,5,67.0,345.0,373.0,175.0,960.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ20,11,SUBA,2023,6,74.0,279.0,370.0,146.0,869.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ20,11,SUBA,2023,7,77.0,346.0,347.0,108.0,878.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ20,11,SUBA,2023,8,57.0,226.0,348.0,145.0,776.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ20,11,SUBA,2023,9,68.0,204.0,403.0,169.0,844.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ20,11,SUBA,2023,10,62.0,244.0,391.0,146.0,843.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ20,11,SUBA,2023,11,67.0,218.0,381.0,125.0,791.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ20,11,SUBA,2023,12,61.0,257.0,345.0,136.0,799.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ21,12,BARRIOS UNIDOS,2023,1,89.0,256.0,419.0,217.0,981.0,136020.0,7060.0,4200.0,18888.0,39.80123933333333
UPZ21,12,BARRIOS UNIDOS,2023,2,101.0,333.0,487.0,282.0,1203.0,136020.0,7060.0,4200.0,18888.0,39.80123933333333
UPZ21,12,BARRIOS UNIDOS,2023,3,89.0,258.0,540.0,210.0,1097.0,136020.0,7060.0,4200.0,18888.0,39.80123933333333
UPZ21,12,BARRIOS UNIDOS,2023,4,73.0,292.0,483.0,216.0,1064.0,136020.0,7060.0,4200.0,18888.0,39.80123933333333
UPZ21,12,BARRIOS UNIDOS,2023,5,83.0,301.0,517.0,222.0,1123.0,136020.0,7060.0,4200.0,18888.0,39.80123933333333
UPZ21,12,BARRIOS UNIDOS,2023,6,67.0,305.0,422.0,254.0,1048.0,136020.0,7060.0,4200.0,18888.0,39.80123933333333
UPZ21,12,BARRIOS UNIDOS,2023,7,100.0,304.0,442.0,206.0,1052.0,136020.0,7060.0,4200.0,18888.0,39.80123933333333
UPZ21,12,BARRIOS UNIDOS,2023,8,61.0,231.0,379.0,193.0,864.0,136020.0,7060.0,4200.0,18888.0,39.80123933333333
UPZ21,12,BARRIOS UNIDOS,2023,9,63.0,289.0,435.0,208.0,995.0,136020.0,7060.0,4200.0,18888.0,39.80123933333333
UPZ21,12,BARRIOS UNIDOS,2023,10,79.0,349.0,538.0,201.0,1167.0,136020.0,7060.0,4200.0,18888.0,39.80123933333333
UPZ21,12,BARRIOS UNIDOS,2023,11,74.0,308.0,499.0,208.0,1089.0,136020.0,7060.0,4200.0,18888.0,39.80123933333333
UPZ21,12,BARRIOS UNIDOS,2023,12,91.0,324.0,495.0,276.0,1186.0,136020.0,7060.0,4200.0,18888.0,39.80123933333333
UPZ72,10,ENGATIVÁ,2023,1,73.0,295.0,422.0,293.0,1083.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ72,10,ENGATIVÁ,2023,2,80.0,276.0,430.0,250.0,1036.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ72,10,ENGATIVÁ,2023,3,100.0,257.0,403.0,334.0,1094.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ72,10,ENGATIVÁ,2023,4,61.0,284.0,427.0,321.0,1093.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ72,10,ENGATIVÁ,2023,5,79.0,279.0,415.0,255.0,1028.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ72,10,ENGATIVÁ,2023,6,78.0,270.0,410.0,309.0,1067.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ72,10,ENGATIVÁ,2023,7,86.0,301.0,420.0,251.0,1058.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
UPZ72,10,ENGATIVÁ,2023,8,79.0,237.0,370.0,259.0,945.0,830505.0,17846.0,9318.0,77148.0,43.08297155555556
