familia,modelo,n_test,mae,rmse,r2,localidad,skill_vs_persistencia
violencia,persistencia,30,113.5,165.1095595859509,0.8133825954612062,Kennedy,0.0
violencia,bosque,6,89.93112072561593,98.4096208335991,-0.41353661558383226,Los Mártires,0.17620347426916716
violencia,mlp,6,105.98884912317281,123.21051942884422,-1.2157845134092926,Los Mártires,0.029109779024371174
violencia,persistencia,6,109.16666666666667,126.13947307114718,-1.3223836785001866,Los Mártires,0.0
violencia,red_residual,6,109.21060180664062,126.3020780863556,-1.3283750565249801,Los Mártires,-0.0004024592974714025
violencia,mlp,30,47.42561985186697,58.356265027225504,0.8396113642942548,Puente Aranda,0.09722804850507039
violencia,bosque,30,51.84335201305611,66.4090193817134,0.7922922257581437,Puente Aranda,0.013134162188018106
violencia,persistencia,30,52.53333333333333,73.38074225117468,0.7463920765957407,Puente Aranda,0.0
violencia,red_residual,30,52.57693990071615,73.4725676074098,0.7457569724050102,Puente Aranda,-0.0008300742522109328
violencia,bosque,24,52.42424762172191,66.14083954441293,0.863949745817229,Rafael Uribe Uribe,0.32063609993448927
violencia,mlp,24,74.99687436690532,96.63516383020058,0.7095774558611228,Rafael Uribe Uribe,0.02811825874420759
violencia,red_residual,24,77.14175542195638,104.68522601083377,0.6591755511762097,Rafael Uribe Uribe,0.00032282390553295404
violencia,persistencia,24,77.16666666666667,104.73219816910812,0.6588696273656831,Rafael Uribe Uribe,0.0
violencia,mlp,12,51.44210316254555,68.91973939509248,0.7610104552910424,San Cristóbal,0.45563911997306294
violencia,bosque,12,70.17045008633737,76.84045469834746,0.7029213094904607,San Cristóbal,0.2574555546419326
violencia,persistencia,12,94.5,116.36866703140784,0.3186601854362392,San Cristóbal,0.0
violencia,red_residual,12,94.51067352294922,116.3360813603994,0.31904171092943845,San Cristóbal,-0.00011294733279587632
violencia,bosque,24,38.048433566657536,49.78799749920278,0.9317206500986359,Santa Fe,0.09138069094549173
violencia,persistencia,24,41.875,58.626288187695,0.9053272796560837,Santa Fe,0.0
violencia,red_residual,24,41.94026152292887,58.68775963358517,0.9051286411191457,Santa Fe,-0.001558484129644766
violencia,mlp,24,42.18946982536049,57.55698210113598,0.9087493244880586,Santa Fe,-0.00750972717278775
violencia,bosque,36,68.05831752031867,114.95301317054054,0.9770232782903469,Suba,0.2021818851411683
violencia,mlp,36,72.94687953614095,112.38766480548304,0.978037355085375,Suba,0.14487539456168208
violencia,persistencia,36,85.30555555555556,164.1568524985242,0.9531439819887351,Suba,0.0
violencia,red_residual,36,85.45497088962131,164.08638873152807,0.95318419892606,Suba,-0.0017515311059481675
violencia,persistencia,30,30.766666666666666,40.26619756901149,0.9303740993539076,Teusaquillo,0.0
violencia,red_residual,30,30.845002365112304,40.27769042414444,0.9303343481662958,Teusaquillo,-0.0025461223763478813
violencia,bosque,30,32.47046789965047,42.967744343822574,0.9207179818887399,Teusaquillo,-0.05537815491821685
violencia,mlp,30,37.10033501098666,48.42244585018066,0.899310767572923,Teusaquillo,-0.20586137630509205
violencia,bosque,12,60.33009063125157,80.75324286686417,0.9125581370273411,Tunjuelito,0.3352056128787706
violencia,red_residual,12,90.66649627685547,114.1757751920646,0.8251975978852668,Tunjuelito,0.0009201512192235084
violencia,persistencia,12,90.75,114.301866418124,0.8248112949274512,Tunjuelito,0.0
violencia,mlp,12,94.2893988864721,133.32102748696462,0.76166009459875,Tunjuelito,-0.039001640622282174
