num_est,nom_est,longitud,latitud,long_est,ancho_est,area_est,tipo_esta,ub_est,num_acc,acc_esp,acc_depr,acc_puent,cod_nodo,cap_biart,num_vag,UPLCODIGO,geometry
9108,Hospital,-74.08622629,4.59505052,92.37,4.0,369.48,4,CL 4 - CL 2,2,2,0,0,9108,0,2,UPZ95,POINT (-74.08622629 4.59505052)
6002,Normandía,-74.11328003,4.66900868,106.03,3.0,318.09,4,KR 73A,1,0,0,1,6002,120,2,UPZ116,POINT (-74.11328003 4.66900868)
7001,Perdomo,-74.16496973,4.59578778,99.24,4.0,396.96,4,Autosur - KR 78C,1,0,0,1,7001,72,2,UPZ49,POINT (-74.16496973 4.59578778)
9107,Hortúa,-74.090246,4.59084725,100.45,4.0,401.8,4,CL 1 Sur - CL 3 Sur,2,2,0,0,9107,72,2,UPZ35,POINT (-74.090246 4.59084725)
9000,Portal Usme,-74.11939099,4.53171458,402.9,0.0,0.0,1,CL 65C Sur,1,1,0,0,9000,78,1,UPZ56,POINT (-74.11939099 4.53171458)
4103,Ferias,-74.08460127,4.69088593,45.75,4.0,183.0,4,TV 67 Bis,1,0,0,1,4103,72,1,UPZ26,POINT (-74.08460127 4.69088593)
9118,Temporal Marly,-74.06678795,4.63755905,176.19,3.5,594.44,4,CL 51 - CL 49,2,2,0,0,9118,120,3,UPZ99,POINT (-74.06678795 4.63755905)
5001,Patio Bonito,-74.16461427,4.63318028,199.2,4.5,896.4,4,AV Cali - CL 40 Sur,2,2,0,0,5001,144,4,UPZ82,POINT (-74.16461427 4.63318028)
8000,Portal Tunal,-74.1392402,4.56957146,323.17,0.0,0.0,1,AV Boyaca,2,2,0,0,8000,64,1,UPZ42,POINT (-74.1392402 4.56957146)
9105,Fucha,-74.09940175,4.58297258,80.04,4.0,320.16,4,CL 13 Sur - CL 16 Sur,1,1,0,0,9105,48,2,UPZ35,POINT (-74.09940175 4.58297258)
4101,Minuto de Dios,-74.09193285,4.6968816,144.0,4.0,576.0,4,KR 73 A,1,0,0,1,4101,144,2,UPZ30,POINT (-74.09193285 4.6968816)
5000,Portal Américas,-74.17305846,4.62938131,369.54,0.0,0.0,1,AV Cali - CL 43 Sur,1,1,0,0,5000,144,1,UPZ83,POINT (-74.17305846 4.62938131)
14005,Las Aguas - Centro Colombo Americano,-74.06840144,4.60257976,61.73,0.0,0.0,3,KR 3,3,2,1,0,14005,48,1,UPZ93,POINT (-74.06840144 4.60257976)
3000,Portal Suba,-74.0942789,4.74681507,526.68,0.0,0.0,1,AV Suba AV Cali,1,1,0,0,3000,128,1,UPZ27,POINT (-74.0942789 4.74681507)
3005,Suba - AV. Boyacá,-74.07471163,4.72126716,176.75,4.0,707.0,4,AV Suba AV Boyaca,2,0,2,0,3005,48,2,UPZ24,POINT (-74.07471163 4.72126716)
9004,Santa Lucía,-74.12470872,4.57096848,121.56,4.0,486.24,4,CL 46A Sur - Diagonal 4,2,2,0,0,9004,120,2,UPZ53,POINT (-74.12470872 4.57096848)
3014,San Martín,-74.06717674,4.67638966,89.37,4.0,357.48,4,AV Suba - CL 81,1,1,0,0,3014,60,2,UPZ21,POINT (-74.06717674 4.67638966)
6111,Universidades – CityU,-74.06731585,4.60464623,122.85,4.0,491.4,3,KR 3,2,1,1,0,6111,120,2,UPZ92,POINT (-74.06731585 4.60464623)
7113,Santa Isabel,-74.10261755,4.60167503,89.26,4.0,357.04,4,KR 30 AV 3,1,1,0,0,7113,96,2,UPZ40,POINT (-74.10261755 4.60167503)
3012,Suba - Calle 95,-74.06321827,4.68469464,89.57,4.0,358.28,4,AV Suba - CL 97,1,1,0,0,3012,48,2,UPZ21,POINT (-74.06321827 4.68469464)
12000,Puente Aranda,-74.10463943,4.62566974,89.2,4.0,356.8,4,CL 13 KR 47,1,1,0,0,12000,48,2,UPZ108,POINT (-74.10463943 4.62566974)
9101,Quiroga,-74.11438051,4.57680973,86.35,4.0,345.4,4,CL 31 Sur - CL 32 Sur,1,1,0,0,9101,48,2,UPZ39,POINT (-74.11438051 4.57680973)
3010,Puentelargo,-74.06720874,4.69340077,89.36,4.0,357.44,4,AV Suba TV 48,1,1,0,0,3010,72,2,UPZ20,POINT (-74.06720874 4.69340077)
10006,San Victorino,-74.07742242,4.60102943,197.8,4.0,791.2,4,KR 10 - CL 12,2,2,0,0,10006,168,3,UPZ94,POINT (-74.07742242 4.60102943)
7002,CC Paseo Villa del Río - Madelena,-74.15688105,4.59628094,89.25,4.0,357.0,4,Autosur - KR 67,1,0,0,1,7002,72,2,UPZ65,POINT (-74.15688105 4.59628094)
7503,San Mateo - CC Unisur,-74.20544974,4.58596064,123.2,4.0,492.8,2,Soacha,3,0,0,3,7503,192,3,,POINT (-74.20544974 4.58596064)
7003,Sevillana,-74.14741029,4.59510726,99.28,4.0,397.12,4,Sevillana,1,0,0,1,7003,72,2,UPZ45,POINT (-74.14741029 4.59510726)
3013,Rionegro,-74.06481662,4.68035106,89.21,4.0,356.84,4,AV Suba - CL 87,1,1,0,0,3013,48,2,UPZ21,POINT (-74.06481662 4.68035106)
3009,Suba - Calle 116,-74.06984394,4.69924111,96.6,4.0,386.4,4,AV Suba CLL 114,1,1,0,0,3009,72,2,UPZ25,POINT (-74.06984394 4.69924111)
10010,San Bernardo,-74.08432732,4.59019556,115.71,4.0,462.84,4,KR 10 - CL 1B Sur,2,2,0,0,10010,120,2,UPZ95,POINT (-74.08432732 4.59019556)
7009,SENA,-74.11064255,4.59737051,100.01,4.0,400.04,4,Autosur - CL 17 S,1,0,0,1,7009,144,2,UPZ40,POINT (-74.11064255 4.59737051)
12004,San Facon Carrera 22,-74.08679478,4.60973521,130.16,4.0,520.64,4,AV Americas - KR 22,2,2,0,0,12004,120,2,UPZ102,POINT (-74.08679478 4.60973521)
9003,Socorro,-74.12558394,4.56465328,82.4,4.0,329.6,4,KR 13B - KR 13C,1,1,0,0,9003,72,2,UPZ54,POINT (-74.12558394 4.56465328)
3003,21 Ángeles,-74.08098652,4.73550811,94.15,4.0,376.6,4,AV Suba - CL 136,1,0,0,1,3003,48,2,UPZ27,POINT (-74.08098652 4.73550811)
9115,Temporal Calle 34,-74.06971918,4.62157551,150.4,3.5,526.4,4,AV Calle 34 - CL 3,2,2,0,0,9115,120,2,UPZ91,POINT (-74.06971918 4.62157551)
7004,Venecia,-74.14264921,4.59556283,105.93,4.0,423.72,4,Autosur - AV 54,1,0,0,1,7004,72,2,UPZ45,POINT (-74.14264921 4.59556283)
9005,Danubio,-74.12085159,4.54365433,199.2,5.0,996.0,4,Av. Calle 51 Sur entre carrera 5 y calle 56 sur,2,2,0,0,9005,144,0,UPZ56,POINT (-74.12085159 4.54365433)
7000,Portal Sur - JFK Coop. Financiera,-74.16929784,4.59693995,416.61,0.0,0.0,1,Autosur - KR 82,2,0,0,2,7000,96,1,UPZ49,POINT (-74.16929784 4.59693995)
9113,Temporal Calle 22,-74.07554139,4.61001988,183.7,3.5,642.95,4,CL 24 - CL 22,2,2,0,0,9113,120,3,UPZ93,POINT (-74.07554139 4.61001988)
9116,Temporal AV. 39,-74.06869679,4.62689718,184.0,3.5,644.0,4,AV 39 - AV Calle,2,2,0,0,9116,120,3,UPZ91,POINT (-74.06869679 4.62689718)
9121,Temporal Flores – Areandina,-74.06300913,4.65490299,109.75,3.5,384.125,4,CL 69 - CL 67,2,2,0,0,9121,72,2,UPZ97,POINT (-74.06300913 4.65490299)
